DATE,HOUR|DOLAR|EURO|RUBLO|YUAN|LIRA
05/03/2024,13:29|36.0933|39.20634712|0.39509401|5.01372431|1.14506875
17/03/2024,10:57|36.3167|39.53690178|0.39329326|5.04777194|1.12759219
